Country;migrant(s)/1,000 population;
Sao Tome and Principe;-7.57;-7.57
Samoa;-7.82;-7.82
Guyana;-7.84;-7.84
Jamaica;-7.98;-7.98
Moldova;-8.95;-8.95
Eritrea;-10.84;-10.84
Guam;-10.98;-10.98
Nauru;-11.05;-11.05
Jordan;-11.17;-11.17
Maldives;-12.76;-12.76
Puerto Rico;-13.00;-13.00
Northern Mariana Islands;-13.67;-13.67
Tonga;-17.96;-17.96
Micronesia, Federated States of;-20.90;-20.90
Cook Islands;-28.58;-28.58
American Samoa;-32.18;-32.18
