Country;(births/1,000 population) ;
Croatia ;8.70;8.70
Slovenia ;8.70;8.70
Spain ;8.70;8.70
Bosnia and Herzegovina ;8.60;8.60
Germany ;8.60;8.60
Romania ;8.50;8.50
Hong Kong ;8.40;8.40
Italy ;8.40;8.40
Bulgaria ;8.30;8.30
Korea, South ;8.20;8.20
Portugal ;8.10;8.10
Puerto Rico ;8.00;8.00
Taiwan ;8.00;8.00
Macau ;7.90;7.90
Greece ;7.80;7.80
Japan ;7.30;7.30
Andorra ;7.00;7.00
Saint Pierre and Miquelon ;6.70;6.70
Monaco ;6.40;6.40
