Country;births/1,000 population;
Indonesia;15.32;15.32
Iran;15.27;15.27
Colombia;15.21;15.21
Antigua and Barbuda;15.16;15.16
Faroe Islands;14.94;14.94
Kosovo;14.85;14.85
Bahamas, The;14.64;14.64
Tunisia;14.62;14.62
Malaysia;14.55;14.55
Costa Rica;14.28;14.28
Turkey (Turkiye);14.28;14.28
Saudi Arabia;14.22;14.22
Korea, North;14.21;14.21
New Caledonia;14.13;14.13
Saint Martin;14.09;14.09
Brazil;13.96;13.96
Grenada;13.94;13.94
Gibraltar;13.93;13.93
Dominica;13.91;13.91
Sri Lanka;13.80;13.80
Greenland;13.79;13.79
Azerbaijan;13.59;13.59
Mexico;13.55;13.55
Turks and Caicos Islands;13.54;13.54
French Polynesia;13.47;13.47
Curacao;13.20;13.20
Lebanon;13.10;13.10
Iceland;12.96;12.96
New Zealand;12.78;12.78
Chile;12.75;12.75
Uruguay;12.71;12.71
Albania;12.69;12.69
Sint Maarten;12.56;12.56
Cook Islands;12.55;12.55
Jersey;12.41;12.41
Bahrain;12.40;12.40
Seychelles;12.37;12.37
Ireland;12.32;12.32
Australia;12.30;12.30
United States;12.28;12.28
Saint Vincent and the Grenadines;12.27;12.27
Wallis and Futuna;12.27;12.27
Saint Kitts and Nevis;12.24;12.24
Saint Lucia;12.02;12.02
Anguilla;12.01;12.01
Norway;12.00;12.00
Aruba;11.82;11.82
Cayman Islands;11.69;11.69
France;11.66;11.66
Virgin Islands;11.63;11.63
Luxembourg;11.61;11.61
Palau;11.52;11.52
Denmark;11.22;11.22
Montenegro;11.19;11.19
Armenia;11.10;11.10
Bermuda;11.03;11.03
Georgia;11.00;11.00
Netherlands;10.99;10.99
Belgium;10.95;10.95
British Virgin Islands;10.95;10.95
Falkland Islands (Islas Malvinas);10.90;10.90
Montserrat;10.90;10.90
Barbados;10.83;10.83
Sweden;10.83;10.83
United Arab Emirates;10.81;10.81
Trinidad and Tobago;10.79;10.79
United Kingdom;10.79;10.79
Isle of Man;10.58;10.58
Cyprus;10.57;10.57
North Macedonia;10.45;10.45
Finland;10.42;10.42
Switzerland;10.36;10.36
Liechtenstein;10.32;10.32
Moldova;10.19;10.19
Canada;10.17;10.17
Thailand;10.14;10.14
Cuba;10.11;10.11
China;9.93;9.93
Mauritius;9.86;9.86
Guernsey;9.75;9.75
Malta;9.73;9.73
Austria;9.45;9.45
Russia;9.45;9.45
Saint Helena, Ascension, and Tristan da Cunha;9.34;9.34
Qatar;9.33;9.33
Saint Barthelemy;9.29;9.29
Lithuania;9.26;9.26
Macau;9.11;9.11
Belarus;9.08;9.08
Germany;9.08;9.08
Singapore;9.05;9.05
Ukraine;9.00;9.00
Slovakia;8.94;8.94
Serbia;8.92;8.92
San Marino;8.85;8.85
Romania;8.76;8.76
Estonia;8.75;8.75
Latvia;8.73;8.73
Croatia;8.65;8.65
Hungary;8.65;8.65
Czechia;8.59;8.59
Poland;8.50;8.50
Bosnia and Herzegovina;8.41;8.41
Slovenia;8.30;8.30
Bulgaria;8.05;8.05
Hong Kong;8.04;8.04
Portugal;8.00;8.00
Puerto Rico;7.87;7.87
Greece;7.61;7.61
Taiwan;7.39;7.39
Spain;7.13;7.13
Italy;6.95;6.95
Japan;6.95;6.95
Korea, South;6.92;6.92
Andorra;6.88;6.88
Monaco;6.66;6.66
Saint Pierre and Miquelon;6.47;6.47
