Country;births/1,000 population;
Niger;47.08;47.08
Angola;41.80;41.80
Benin;41.15;41.15
Mali;41.07;41.07
Uganda;40.94;40.94
Chad;40.45;40.45
Congo, Democratic Republic of the;40.08;40.08
Somalia;37.98;37.98
South Sudan;37.69;37.69
Mozambique;37.47;37.47
Liberia;36.64;36.64
Guinea-Bissau;36.45;36.45
Guinea;35.67;35.67
Cameroon;35.53;35.53
Afghanistan;35.46;35.46
Burundi;35.17;35.17
Zambia;34.86;34.86
Nigeria;34.19;34.19
Burkina Faso;33.57;33.57
Sudan;33.47;33.47
Tanzania;33.30;33.30
Zimbabwe;33.07;33.07
Central African Republic;32.79;32.79
Sierra Leone;32.20;32.20
Togo;31.86;31.86
Congo, Republic of the;31.82;31.82
Senegal;31.51;31.51
Timor-Leste;30.94;30.94
Ethiopia;30.49;30.49
Equatorial Guinea;29.95;29.95
Papua New Guinea;29.03;29.03
Gambia, The;28.78;28.78
Madagascar;28.68;28.68
Ghana;28.55;28.55
Cote d'Ivoire;28.30;28.30
Sao Tome and Principe;28.19;28.19
Mauritania;28.06;28.06
Malawi;27.94;27.94
Gaza Strip;27.67;27.67
Eritrea;27.04;27.04
Pakistan;26.48;26.48
Rwanda;26.44;26.44
Kenya;26.39;26.39
Gabon;26.03;26.03
Namibia;25.01;25.01
Iraq;24.70;24.70
Yemen;24.64;24.64
West Bank;24.42;24.42
Eswatini;23.35;23.35
Lesotho;23.15;23.15
Syria;22.72;22.72
Solomon Islands;22.71;22.71
Tuvalu;22.70;22.70
Jordan;22.58;22.58
Comoros;22.52;22.52
Guatemala;22.34;22.34
Philippines;22.28;22.28
Djibouti;22.25;22.25
Oman;22.11;22.11
Marshall Islands;22.00;22.00
Vanuatu;21.57;21.57
Libya;21.56;21.56
Egypt;21.46;21.46
Belize;21.28;21.28
Haiti;21.12;21.12
Nauru;21.10;21.10
Laos;20.90;20.90
Tajikistan;20.73;20.73
Tonga;20.31;20.31
Botswana;20.28;20.28
Kiribati;20.12;20.12
Kyrgyzstan;19.54;19.54
Cambodia;19.29;19.29
Samoa;19.21;19.21
Bolivia;18.61;18.61
Guam;18.56;18.56
South Africa;18.56;18.56
Algeria;18.52;18.52
Cabo Verde;18.49;18.49
Micronesia, Federated States of;18.39;18.39
Dominican Republic;18.03;18.03
Panama;17.99;17.99
Honduras;17.92;17.92
El Salvador;17.87;17.87
Kuwait;17.78;17.78
Bangladesh;17.69;17.69
Nepal;17.53;17.53
Turkmenistan;17.51;17.51
Morocco;17.42;17.42
Israel;17.41;17.41
Venezuela;17.27;17.27
Peru;17.21;17.21
India;16.82;16.82
Guyana;16.72;16.72
American Samoa;16.70;16.70
Fiji;16.56;16.56
Nicaragua;16.52;16.52
Ecuador;16.45;16.45
Burma;16.34;16.34
Paraguay;16.32;16.32
Brunei;16.14;16.14
Bhutan;15.94;15.94
Jamaica;15.91;15.91
Mongolia;15.84;15.84
Vietnam;15.69;15.69
Argentina;15.58;15.58
Maldives;15.54;15.54
Uzbekistan;15.53;15.53
Northern Mariana Islands;15.50;15.50
Kazakhstan;15.38;15.38
Suriname;15.38;15.38
