Country;% (of GDP);
Tuvalu;106.70;106.70
Nauru;90.30;90.30
Greenland;77.40;77.40
Kiribati;76.80;76.80
Andorra;69.00;69.00
Palau;66.10;66.10
Micronesia, Federated States of;65.20;65.20
Cuba;58.10;58.10
Norway;54.40;54.40
France;53.80;53.80
Finland;53.10;53.10
Denmark;53.00;53.00
Marshall Islands;52.60;52.60
Libya;51.60;51.60
Belgium;51.30;51.30
Sweden;50.60;50.60
Greece;48.80;48.80
Austria;48.30;48.30
Anguilla;46.70;46.70
Italy;46.60;46.60
Croatia;46.10;46.10
Germany;45.00;45.00
Hungary;44.50;44.50
Luxembourg;44.40;44.40
Venezuela;44.20;44.20
Bosnia and Herzegovina;44.00;44.00
Netherlands;43.40;43.40
Slovenia;43.10;43.10
Portugal;42.90;42.90
Serbia;42.70;42.70
Iceland;42.40;42.40
Kuwait;41.80;41.80
Solomon Islands;41.00;41.00
Dominica;40.90;40.90
Belarus;40.70;40.70
San Marino;40.60;40.60
Czechia;40.50;40.50
Malta;40.40;40.40
Bolivia;39.90;39.90
Cyprus;39.90;39.90
Estonia;39.90;39.90
Tonga;39.80;39.80
Lesotho;39.70;39.70
Seychelles;39.60;39.60
Poland;39.50;39.50
French Polynesia;39.40;39.40
Slovakia;39.40;39.40
Canada;39.30;39.30
United Kingdom;39.10;39.10
British Virgin Islands;38.90;38.90
Cayman Islands;38.90;38.90
Spain;37.90;37.90
American Samoa;37.80;37.80
Latvia;37.50;37.50
Montenegro;37.20;37.20
New Zealand;36.80;36.80
Brazil;35.70;35.70
Bulgaria;35.70;35.70
Iraq;35.70;35.70
Switzerland;35.70;35.70
Australia;35.50;35.50
Djibouti;35.30;35.30
Japan;35.20;35.20
Eritrea;34.90;34.90
Lithuania;33.70;33.70
Falkland Islands (Islas Malvinas);32.50;32.50
Algeria;32.30;32.30
Namibia;32.20;32.20
Ecuador;32.00;32.00
Saint Kitts and Nevis;31.90;31.90
Tajikistan;31.80;31.80
Northern Mariana Islands;31.40;31.40
Oman;31.30;31.30
Uzbekistan;31.20;31.20
Botswana;30.50;30.50
Faroe Islands;30.20;30.20
Moldova;30.20;30.20
Belize;29.90;29.90
Uruguay;29.80;29.80
Fiji;29.70;29.70
Jamaica;29.70;29.70
Barbados;29.40;29.40
Angola;29.30;29.30
Romania;29.30;29.30
Macau;29.20;29.20
Cook Islands;29.00;29.00
Kosovo;29.00;29.00
North Macedonia;29.00;29.00
Virgin Islands;28.90;28.90
United Arab Emirates;28.80;28.80
Georgia;28.70;28.70
Kyrgyzstan;28.70;28.70
Saint Vincent and the Grenadines;28.70;28.70
Eswatini;28.60;28.60
Samoa;28.20;28.20
Guyana;28.10;28.10
Nicaragua;28.00;28.00
