Benin;"$1,900 (2014 est.)
$1,800 (2013 est.)
$1,700 (2012 est.)
note: data are in 2014 US dollars";1,900 
Bermuda;"$85,700 (2013 est.)
$85,400 (2012)
$86,000 (2011 est.)";85,700 
Bhutan;"$7,600 (2014 est.)
$7,200 (2013 est.)
$6,800 (2012 est.)
note: data are in 2014 US dollars";7,600 
Bolivia;"$6,200 (2014 est.)
$5,900 (2013 est.)
$5,500 (2012 est.)
note: data are in 2014 US dollars";6,200 
Bosnia and Herzegovina;"$9,800 (2014 est.)
$9,800 (2013 est.)
$9,500 (2012 est.)
note: data are in 2014 US dollars";9,800 
Botswana;"$16,000 (2014 est.)
$15,300 (2013 est.)
$14,400 (2012 est.)
note: data are in 2014 US dollars";16,000 
Brazil;"$16,100 (2014 est.)
$16,100 (2013 est.)
$15,600 (2012 est.)
note: data are in 2014 US dollars";16,100 
British Virgin Islands;$42,300 (2010 est.);42,300 
Brunei;"$73,200 (2014 est.)
$73,700 (2013 est.)
$75,100 (2012 est.)
note: data are in 2014 US dollars";73,200 
Bulgaria;"$17,900 (2014 est.)
$17,600 (2013 est.)
$17,400 (2012 est.)
note: data are in 2014 US dollars";17,900 
Burkina Faso;"$1,700 (2014 est.)
$1,600 (2013 est.)
$1,500 (2012 est.)
note: data are in 2014 US dollars";1,700 
Burma;"$4,700 (2014 est.)
$4,400 (2013 est.)
$4,000 (2012 est.)
note: data are in 2014 US dollars";4,700 
Burundi;"$900 (2014 est.)
$900 (2013 est.)
$800 (2012 est.)
note: data are in 2014 US dollars";900 
Cabo Verde;"$6,300 (2014 est.)
$6,300 (2013 est.)
$6,200 (2012 est.)
note: data are in 2014 US dollars";6,300 
Cambodia;"$3,300 (2014 est.)
$3,100 (2013 est.)
$2,800 (2012 est.)
note: data are in 2014 US dollars";3,300 
Cameroon;"$3,000 (2014 est.)
$2,800 (2013 est.)
$2,700 (2012 est.)
note: data are in 2014 US dollars";3,000 
Canada;"$44,800 (2014 est.)
$43,700 (2013 est.)
$42,900 (2012 est.)
note: data are in 2014 US dollars";44,800 
Cayman Islands;$43,800 (2004 est.);43,800 
Central African Republic;"$600 (2014 est.)
$600 (2013 est.)
$900 (2012 est.)
note: data are in 2014 US dollars";600 
Chad;"$2,600 (2014 est.)
$2,400 (2013 est.)
$2,300 (2012 est.)
note: data are in 2014 US dollars";2,600 
Chile;"$23,000 (2014 est.)
$22,600 (2013 est.)
$21,600 (2012 est.)
note: data are in 2014 US dollars";23,000 
China;"$12,900 (2014 est.)
$12,000 (2013 est.)
$11,100 (2012 est.)
note: data are in 2014 US dollars";12,900 
Colombia;"$13,400 (2014 est.)
$12,800 (2013 est.)
$12,200 (2012 est.)
note: data are in 2014 US dollars";13,400 
Comoros;"$1,500 (2014 est.)
$1,500 (2013 est.)
$1,400 (2012 est.)
note: data are in 2014 US dollars";1,500 
Congo, Democratic Republic of the;"$700 (2014 est.)
$600 (2013 est.)
$600 (2012 est.)
note: data are in 2014 US dollars";700 
Congo, Republic of the;"$6,600 (2014 est.)
$6,200 (2013 est.)
$6,000 (2012 est.)
note: data are in 2014 US dollars";6,600 
Cook Islands;$9,100 (2005 est.);9,100 
Costa Rica;"$14,900 (2014 est.)
$14,400 (2013 est.)
$13,900 (2012 est.)
note: data are in 2014 US dollars";14,900 
Cote d'Ivoire;"$3,100 (2014 est.)
$2,900 (2013 est.)
$2,700 (2012 est.)
note: data are in 2014 US dollars";3,100 
Croatia;"$20,900 (2014 est.)
$21,000 (2013 est.)
$21,200 (2012 est.)
note: data are in 2014 US dollars";20,900 
Cuba;"$10,200 (2010 est.)
$10,000 (2009 est.)
$10,000 (2008 est.)
note: data are in 2010 US dollars";10,200 
Curacao;$15,000 (2004 est.);15,000 
Cyprus;"$30,800 (2014 est.)
$31,500 (2013 est.)
$33,300 (2012 est.)
note: data are in 2014 US dollars";30,800 
Czech Republic;"$29,900 (2014 est.)
$29,300 (2013 est.)
$29,500 (2012 est.)
note: data are in 2014 US dollars";29,900 
Denmark;"$44,300 (2014 est.)
$43,900 (2013 est.)
$44,100 (2012 est.)
note: data are in 2014 US dollars";44,300 
Djibouti;"$3,100 (2014 est.)
$2,900 (2013 est.)
$2,700 (2012 est.)
note: data are in 2014 US dollars";3,100 
Dominica;"$10,800 (2014 est.)
$10,700 (2013 est.)
$10,800 (2012 est.)
note: data are in 2014 US dollars";10,800 
Dominican Republic;"$13,000 (2014 est.)
$12,100 (2013 est.)
$11,600 (2012 est.)
note: data are in 2014 US dollars";13,000 
Ecuador;"$11,200 (2014 est.)
$10,800 (2013 est.)
$10,400 (2012 est.)
note: data are in 2014 US dollars";11,200 
Egypt;"$10,900 (2014 est.)
$10,600 (2013 est.)
$10,400 (2012 est.)
note: data are in 2014 US dollars";10,900 
El Salvador;"$8,000 (2014 est.)
$7,900 (2013 est.)
$7,700 (2012 est.)
note: data are in 2014 US dollars";8,000 
Equatorial Guinea;"$32,300 (2014 est.)
$33,300 (2013 est.)
$35,000 (2012 est.)";32,300 
Eritrea;"$1,200 (2014 est.)
$1,200 (2013 est.)
$1,200 (2012 est.)
note: data are in 2014 US dollars";1,200 
Estonia;"$27,000 (2014 est.)
$26,400 (2013 est.)
$26,000 (2012 est.)
note: data are in 2014 US dollars";27,000 
Ethiopia;"$1,600 (2014 est.)
$1,400 (2013 est.)
$1,300 (2012 est.)
note: data are in 2014 US dollars";1,600 
European Union;"$39,200 (2014 est.)
$38,700 (2013 est.)
$38,600 (2012 est.)
note: data are in 2014 US dollars";39,200 
Falkland Islands (Islas Malvinas);$55,400 (2002 est.);55,400 
Faroe Islands;$30,500 (2008 est.);30,500 
Fiji;"$8,200 (2014 est.)
$7,900 (2013 est.)
$7,600 (2012 est.)
note: data are in 2014 US dollars";8,200 
Finland;"$40,300 (2014 est.)
$40,400 (2013 est.)
$40,900 (2012 est.)
note: data are in 2014 US dollars";40,300 
France;"$40,400 (2014 est.)
$40,200 (2013 est.)
$40,100 (2012 est.)
note: data are in 2014 US dollars";40,400 
French Polynesia;"$26,100 (2012 est.)
$26,000 (2010 est.)";26,100 
Gabon;"$22,900 (2014 est.)
$21,800 (2013 est.)
$20,700 (2012 est.)
note: data are in 2014 US dollars";22,900 
Gambia, The;"$1,600 (2014 est.)
$1,600 (2013 est.)
$1,500 (2012 est.)
note: data are in 2014 US dollars";1,600 
Gaza Strip;see entry for West Bank;ee 
Georgia;"$7,700 (2014 est.)
$7,300 (2013 est.)
$7,100 (2012 est.)
note: data are in 2014 US dollars";7,700 
Germany;"$45,900 (2014 est.)
$45,200 (2013 est.)
$45,100 (2012 est.)
note: data are in 2014 US dollars";45,900 
Ghana;"$4,100 (2014 est.)
$4,000 (2013 est.)
$3,700 (2012 est.)
note: data are in 2014 US dollars";4,100 
Gibraltar;"$43,000 (2008 est.)
$41,200 (2007 est.)
$38,400 (2006 est.)";43,000 
Greece;"$25,900 (2014 est.)
$25,700 (2013 est.)
$26,700 (2012 est.)
note: data are in 2014 US dollars";25,900 
Greenland;"$38,400 (2008 est.)
$36,600 (2007 est.)";38,400 
Grenada;"$12,000 (2014 est.)
$11,800 (2013 est.)
$11,500 (2012 est.)
note: data are in 2014 US dollars";12,000 
Guam;"$30,500 (2013 est.)
$29,800 (2012)
$28,600 (2011)";30,500 
Guatemala;"$7,500 (2014 est.)
$7,200 (2013 est.)
$7,000 (2012 est.)
note: data are in 2014 US dollars";7,500 
Guernsey;$44,600 (2005 est.);44,600 
Guinea-Bissau;"$1,400 (2014 est.)
$1,400 (2013 est.)
$1,400 (2012 est.)
note: data are in 2014 US dollars";1,400 
Guinea;"$1,300 (2014 est.)
$1,300 (2013 est.)
$1,300 (2012 est.)
note: data are in 2014 US dollars";1,300 
Guyana;"$6,900 (2014 est.)
$6,600 (2013 est.)
$6,300 (2012 est.)
note: data are in 2014 US dollars";6,900 
Haiti;"$1,800 (2014 est.)
$1,700 (2013 est.)
$1,600 (2012 est.)
note: data are in 2014 US dollars";1,800 
Honduras;"$4,700 (2014 est.)
$4,600 (2013 est.)
$4,500 (2012 est.)
note: data are in 2014 US dollars";4,700 
Hong Kong;"$54,700 (2014 est.)
$53,500 (2013 est.)
$52,000 (2012 est.)
note: data are in 2014 US dollars";54,700 
Hungary;"$24,900 (2014 est.)
$24,100 (2013 est.)
$23,700 (2012 est.)
note: data are in 2014 US dollars";24,900 
Iceland;"$43,600 (2014 est.)
$42,900 (2013 est.)
$41,500 (2012 est.)
note: data are in 2014 US dollars";43,600 
India;"$5,900 (2014 est.)
$5,500 (2013 est.)
$5,100 (2012 est.)
note: data are in 2014 US dollars";5,900 
Indonesia;"$10,600 (2014 est.)
$10,100 (2013 est.)
$9,600 (2012 est.)
note: data are in 2014 US dollars";10,600 
Iran;"$17,100 (2014 est.)
$16,600 (2013 est.)
$16,900 (2012 est.)
note: data are in 2014 US dollars";17,100 
Iraq;"$14,600 (2014 est.)
$14,900 (2013 est.)
$14,000 (2012 est.)
note: data are in 2014 US dollars";14,600 
Ireland;"$49,200 (2014 est.)
$46,900 (2013 est.)
$46,900 (2012 est.)
note: data are in 2014 US dollars";49,200 
Isle of Man;"$83,100 (2007 est.)
$35,000 (2005 est.)";83,100 
Israel;"$32,700 (2014 est.)
$31,800 (2013 est.)
$30,800 (2012 est.)
note: data are in 2014 US dollars";32,700 
Italy;"$35,500 (2014 est.)
$35,600 (2013 est.)
$36,300 (2012 est.)
note: data are in 2014 US dollars";35,500 
Jamaica;"$8,600 (2014 est.)
$8,600 (2013 est.)
$8,500 (2012 est.)
note: data are in 2014 US dollars";8,600 
Japan;"$37,400 (2014 est.)
$37,400 (2013 est.)
$36,800 (2012 est.)
note: data are in 2014 US dollars";37,400 
Jersey;$57,000 (2005 est.);57,000 
Jordan;"$11,900 (2014 est.)
$11,600 (2013 est.)
$11,300 (2012 est.)
note: data are in 2014 US dollars";11,900 
Kazakhstan;"$24,000 (2014 est.)
$23,000 (2013 est.)
$21,700 (2012 est.)
note: data are in 2014 US dollars";24,000 
Kenya;"$3,100 (2014 est.)
$2,900 (2013 est.)
$2,800 (2012 est.)
note: data are in 2014 US dollars";3,100 
Kiribati;"$1,700 (2014 est.)
$1,700 (2013 est.)
$1,600 (2012 est.)
note: data are in 2014 US dollars";1,700 
Korea, North;"$1,800 (2013 est.)
$1,800 (2012 est.)
$1,900 (2009 est.)
note: data are in 2013 US dollars";1,800 
Korea, South;"$35,300 (2014 est.)
$34,100 (2013 est.)
$33,200 (2012 est.)
note: data are in 2014 US dollars";35,300 
Kosovo;"$8,000 (2014 est.)
$7,700 (2013 est.)
$7,600 (2012 est.)
note: data are in 2014 US dollars";8,000 
Kuwait;"$71,000 (2014 est.)
$70,100 (2013 est.)
$69,100 (2012 est.)
note: data are in 2014 US dollars";71,000 
Kyrgyzstan;"$3,400 (2014 est.)
$3,200 (2013 est.)
$2,900 (2012 est.)
note: data are in 2014 US dollars";3,400 
Laos;"$5,000 (2014 est.)
$4,600 (2013 est.)
$4,300 (2012 est.)
note: data are in 2014 US dollars";5,000 
Latvia;"$23,700 (2014 est.)
$23,200 (2013 est.)
$22,200 (2012 est.)
note: data are in 2014 US dollars";23,700 
Lebanon;"$18,000 (2014 est.)
$17,600 (2013 est.)
$17,200 (2012 est.)
note: data are in 2014 US dollars";18,000 
Lesotho;"$2,800 (2014 est.)
$2,700 (2013 est.)
$2,600 (2012 est.)
note: data are in 2014 US dollars";2,800 
Liberia;"$900 (2014 est.)
$900 (2013 est.)
$800 (2012 est.)
note: data are in 2014 US dollars";900 
Libya;"$15,700 (2014 est.)
$20,700 (2013 est.)
$23,900 (2012 est.)
note: data are in 2014 US dollars";15,700 
Liechtenstein;"$89,400 (2009 est.)
$90,600 (2008 est.)
$89,700 (2007 est.)";89,400 
Lithuania;"$27,100 (2014 est.)
$26,300 (2013 est.)
$25,500 (2012 est.)
note: data are in 2014 US dollars";27,100 
Luxembourg;"$92,000 (2014 est.)
$89,400 (2013 est.)
$87,700 (2012 est.)
note: data are in 2014 US dollars";92,000 
Macau;"$88,700 (2013 est.)
$79,900 (2010 est.)
$73,900 (2009 est.)";88,700 
Macedonia;"$13,300 (2014 est.)
$12,900 (2013 est.)
$12,500 (2012 est.)
note: data are in 2014 US dollars";13,300 
Madagascar;"$1,400 (2014 est.)
$1,400 (2013 est.)
$1,400 (2012 est.)
note: data are in 2014 US dollars";1,400 
Malawi;"$800 (2014 est.)
$700 (2013 est.)
$700 (2012 est.)
note: data are in 2014 US dollars";800 
Malaysia;"$24,700 (2014 est.)
$23,300 (2013 est.)
$22,200 (2012 est.)
note: data are in 2014 US dollars";24,700 
Maldives;"$14,400 (2014 est.)
$13,700 (2013 est.)
$13,100 (2012 est.)
note: data are in 2014 US dollars";14,400 
Mali;"$1,700 (2014 est.)
$1,600 (2013 est.)
$1,600 (2012 est.)
note: data are in 2014 US dollars";1,700 
Malta;"$33,200 (2014 est.)
$32,100 (2013 est.)
$31,200 (2012 est.)
note: data are in 2012 US dollars";33,200 
Marshall Islands;"$3,300 (2014 est.)
$3,300 (2013 est.)
$3,200 (2012 est.)
note: data are in 2014 US dollars";3,300 
Mauritania;"$4,300 (2014 est.)
$4,000 (2013 est.)
$3,800 (2012 est.)
note: data are in 2014 US dollars";4,300 
Mauritius;"$18,600 (2014 est.)
$18,000 (2013 est.)
$17,400 (2012 est.)
note: data are in 2014 US dollars";18,600 
Mexico;"$17,900 (2014 est.)
$17,500 (2013 est.)
$17,300 (2012 est.)
note: data are in 2014 US dollars";17,900 
Micronesia, Federated States of;"$3,000 (2014 est.)
$3,000 (2013 est.)
$3,100 (2012 est.)
note: data are in 2014 US dollars";3,000 
Moldova;"$5,000 (2014 est.)
$4,800 (2013 est.)
$4,400 (2012 est.)
note: data are in 2014 US dollars";5,000 
Monaco;"$78,700 (2013 est.)
$73,200 (2012)
$72,600 (2011)";78,700 
Mongolia;"$11,900 (2014 est.)
$11,000 (2013 est.)
$9,900 (2012 est.)
note: data are in 2014 US dollars";11,900 
Montenegro;"$15,000 (2014 est.)
$14,800 (2013 est.)
$14,300 (2012 est.)
note: data are in 2014 US dollars";15,000 
Montserrat;$8,500 (2006 est.);8,500 
Morocco;"$7,600 (2014 est.)
$7,400 (2013 est.)
$7,100 (2012 est.)
note: data are in 2014 US dollars";7,600 
Mozambique;"$1,200 (2014 est.)
$1,100 (2013 est.)
$1,000 (2012 est.)
note: data are in 2014 US dollars";1,200 
Namibia;"$10,800 (2014 est.)
$10,200 (2013 est.)
$9,700 (2012 est.)
note: data are in 2014 US dollars";10,800 
Nauru;$5,000 (2005 est.);5,000 
Nepal;"$2,400 (2014 est.)
$2,300 (2013 est.)
$2,200 (2012 est.)
note: data are in 2014 US dollars";2,400 
Netherlands;"$47,400 (2014 est.)
$46,900 (2013 est.)
$47,300 (2012 est.)
note: data are in 2012 US dollars";47,400 
New Caledonia;"$38,800 (2012 est.)
$36,500 (2010 est.)
$27,300 (2005)";38,800 
New Zealand;"$35,200 (2014 est.)
$34,000 (2013 est.)
$33,300 (2012 est.)
note: data are in 2014 US dollars";35,200 
Nicaragua;"$4,700 (2014 est.)
$4,500 (2013 est.)
$4,300 (2012 est.)
note: data are in 2014 US dollars";4,700 
Nigeria;"$6,000 (2014 est.)
$5,700 (2013 est.)
$5,400 (2012 est.)
note: data are in 2014 US dollars";6,000 
Niger;"$1,000 (2014 est.)
$1,000 (2013 est.)
$900 (2012 est.)
note: data are in 2014 US dollars";1,000 
Niue;$5,800 (2003 est.);5,800 
Northern Mariana Islands;"$13,300 (2013 est.)
$12,900 (2012)
$12,400 (2011)";13,300 
Norway;"$66,900 (2014 est.)
$65,500 (2013 est.)
$65,000 (2012 est.)
note: data are in 2014 US dollars";66,900 
Oman;"$39,700 (2014 est.)
$38,500 (2013 est.)
$36,800 (2012 est.)
note: data are in 2014 US dollars";39,700 
Pakistan;"$4,700 (2014 est.)
$4,500 (2013 est.)
$4,400 (2012 est.)
note: data are in 2014 US dollars";4,700 
Palau;"$16,300 (2014 est.)
$15,100 (2013 est.)
$15,100 (2012 est.)";16,300 
Panama;"$19,500 (2014 est.)
$18,300 (2013 est.)
$16,900 (2012 est.)
note: data are in 2014 US dollars";19,500 
Papua New Guinea;"$2,400 (2014 est.)
$2,300 (2013 est.)
$2,100 (2012 est.)
note: data are in 2014 US dollars";2,400 
Paraguay;"$8,400 (2014 est.)
$8,100 (2013 est.)
$7,100 (2012 est.)
note: data are in 2014 US dollars";8,400 
Peru;"$11,800 (2014 est.)
$11,500 (2013 est.)
$10,900 (2012 est.)
note: data are in 2014 US dollars";11,800 
Philippines;"$7,000 (2014 est.)
$6,600 (2013 est.)
$6,100 (2012 est.)
note: data are in 2014 US dollars";7,000 
Poland;"$25,100 (2014 est.)
$24,300 (2013 est.)
$23,900 (2012 est.)
note: data are in 2014 US dollars";25,100 
Portugal;"$27,000 (2014 est.)
$26,700 (2013 est.)
$27,200 (2012 est.)
note: data are in 2014 US dollars";27,000 
Puerto Rico;"$28,500 (2013 est.)
$28,700 (2012 est.)
$29,500 (2011 est.)
note: data are in 2010 US dollars";28,500 
Qatar;"$143,400 (2014 est.)
$135,100 (2013 est.)
$127,100 (2012 est.)
note: data are in 2014 US dollars";143,400 
Romania;"$19,700 (2014 est.)
$19,200 (2013 est.)
$18,500 (2012 est.)
note: data are in 2014 US dollars";19,700 
Russia;"$24,800 (2014 est.)
$24,700 (2013 est.)
$24,300 (2012 est.)
note: data are in 2014 US dollars";24,800 
Rwanda;"$1,700 (2014 est.)
$1,600 (2013 est.)
$1,500 (2012 est.)
note: data are in 2014 US dollars";1,700 
Saint Helena, Ascension, and Tristan da Cunha;$7,800 (FY09/10 est.);7,800 
Saint Kitts and Nevis;"$21,100 (2014 est.)
$19,700 (2013 est.)
$19,000 (2012 est.)
note: data are in 2014 US dollars";21,100 
Saint Lucia;"$11,600 (2014 est.)
$11,700 (2013 est.)
$11,800 (2012 est.)
note: data are in 2014 US dollars";11,600 
Saint Martin;$19,300 (2005 est.);19,300 
Saint Pierre and Miquelon;$34,900 (2006 est.);34,900 
Saint Vincent and the Grenadines;"$10,800 (2014 est.)
$10,700 (2013 est.)
$10,400 (2012 est.)
note: data are in 2014 US dollars";10,800 
Samoa;"$5,200 (2014 est.)
$5,100 (2013 est.)
$5,100 (2012 est.)
note: data are in 2014 US dollars";5,200 
San Marino;"$60,700 (2014 est.)
$61,300 (2013 est.)
$64,200 (2012 est.)";60,700 
Sao Tome and Principe;"$3,200 (2014 est.)
$3,000 (2013 est.)
$2,900 (2012 est.)
note: data are in 2014 US dollars";3,200 
Saudi Arabia;"$52,200 (2014 est.)
$50,400 (2013 est.)
$49,100 (2012 est.)
note: data are in 2014 US dollars";52,200 
Senegal;"$2,300 (2014 est.)
$2,200 (2013 est.)
$2,100 (2012 est.)
note: data are in 2014 US dollars";2,300 
Serbia;"$13,300 (2014 est.)
$13,600 (2013 est.)
$13,200 (2012 est.)
note: data are in 2014 US dollars";13,300 
Seychelles;"$25,600 (2014 est.)
$24,900 (2013 est.)
$23,300 (2012 est.)
note: data are in 2014 US dollars";25,600 
Sierra Leone;"$2,000 (2014 est.)
$1,900 (2013 est.)
$1,600 (2012 est.)
note: data are in 2014 US dollars";2,000 
Singapore;"$82,800 (2014 est.)
$80,400 (2013 est.)
$77,000 (2012 est.)
note: data are in 2014 US dollars";82,800 
Sint Maarten;"$66,800 (2014 est.)
$65,500 (2013 est.)
$63,900 (2012 est.)";66,800 
Slovakia;"$28,200 (2014 est.)
$27,500 (2013 est.)
$27,100 (2012 est.)
note: data are in 2014 US dollars";28,200 
Slovenia;"$29,700 (2014 est.)
$28,900 (2013 est.)
$29,200 (2012 est.)
note: data are in 2014 US dollars";29,700 
Solomon Islands;"$1,900 (2014 est.)
$1,900 (2013 est.)
$1,800 (2012 est.)
note: data are in 2014 US dollars";1,900 
Somalia;"$600 (2010 est.)
$600 (2009 est.)
$600 (2008 est.)";600 
South Africa;"$13,000 (2014 est.)
$12,900 (2013 est.)
$12,600 (2012 est.)
note: data are in 2014 US dollars";13,000 
South Sudan;"$2,300 (2014 est.)
$2,200 (2013 est.)
$1,700 (2012 est.)
note: data are in 2014 US dollars";2,300 
Spain;"$33,700 (2014 est.)
$33,200 (2013 est.)
$33,700 (2012 est.)
note: data are in 2014 US dollars";33,700 
Sri Lanka;"$10,400 (2014 est.)
$9,700 (2013 est.)
$9,000 (2012 est.)
note: data are in 2014 US dollars";10,400 
Sudan;"$4,300 (2014 est.)
$4,100 (2013 est.)
$4,000 (2012 est.)
note: data are in 2014 US dollars";4,300 
Suriname;"$16,600 (2014 est.)
$16,200 (2013 est.)
$15,500 (2012 est.)
note: data are in 2014 US dollars";16,600 
Swaziland;"$7,800 (2014 est.)
$7,700 (2013 est.)
$7,500 (2012 est.)
note: data are in 2014 US dollars";7,800 
Sweden;"$46,000 (2014 est.)
$45,000 (2013 est.)
$44,500 (2012 est.)
note: data are in 2014 US dollars";46,000 
Switzerland;"$58,100 (2014 est.)
$57,000 (2013 est.)
$55,900 (2012 est.)
note: data are in 2014 US dollars";58,100 
Syria;"$5,100 (2011 est.)
$5,100 (2010 est.)
$5,200 (2010 est.)
note: data are in 2011 US dollars";5,100 
Taiwan;"$45,900 (2014 est.)
$44,200 (2013 est.)
$43,200 (2012 est.)
note: data are in 2014 US dollars";45,900 
Tajikistan;"$2,700 (2014 est.)
$2,500 (2013 est.)
$2,300 (2012 est.)
note: data are in 2014 US dollars";2,700 
Tanzania;"$2,700 (2014 est.)
$2,500 (2013 est.)
$2,300 (2012 est.)
note: data are in 2014 US dollars";2,700 
Thailand;"$14,400 (2014 est.)
$14,300 (2013 est.)
$13,900 (2012 est.)
note: data are in 2014 US dollars";14,400 
Timor-Leste;"$4,900 (2014 est.)
$4,600 (2013 est.)
$4,400 (2012 est.)
note: data are in 2014 US dollars";4,900 
Togo;"$1,400 (2014 est.)
$1,400 (2013 est.)
$1,300 (2012 est.)
note: data are in 2014 US dollars";1,400 
Tokelau;$1,000 (1993 est.);1,000 
Tonga;"$4,900 (2014 est.)
$4,800 (2013 est.)
$4,800 (2012 est.)
note: data are in 2014 US dollars";4,900 
Trinidad and Tobago;"$32,100 (2014 est.)
$31,800 (2013 est.)
$31,200 (2012 est.)
note: data are in 2014 US dollars";32,100 
Tunisia;"$11,300 (2014 est.)
$11,000 (2013 est.)
$10,800 (2012 est.)
note: data are in 2014 US dollars";11,300 
Turkey;"$19,600 (2014 est.)
$19,100 (2013 est.)
$18,300 (2012 est.)
note: data are in 2014 US dollars";19,600 
Turkmenistan;"$14,200 (2014 est.)
$12,800 (2013 est.)
$11,700 (2012 est.)
note: data are in 2014 US dollars";14,200 
Turks and Caicos Islands;$29,100 (2007 est.);29,100 
Tuvalu;"$3,300 (2014 est.)
$3,200 (2013 est.)
$3,200 (2012 est.)
note: data are in 2014 US dollars";3,300 
Uganda;"$2,000 (2014 est.)
$1,900 (2013 est.)
$1,900 (2012 est.)
note: data are in 2014 US dollars";2,000 
Ukraine;"$8,700 (2014 est.)
$9,300 (2013 est.)
$9,300 (2012 est.)
note: data are in 2014 US dollars";8,700 
United Arab Emirates;"$64,500 (2014 est.)
$62,200 (2013 est.)
$59,200 (2012 est.)
note: data are in 2014 US dollars";64,500 
United Kingdom;"$39,500 (2014 est.)
$38,500 (2013 est.)
$37,900 (2012 est.)
note: data are in 2014 US dollars";39,500 
United States;"$54,600 (2014 est.)
$53,300 (2013 est.)
$52,200 (2012 est.)
note: data are in 2014 US dollars";54,600 
Uruguay;"$20,600 (2014 est.)
$19,900 (2013 est.)
$19,100 (2012 est.)
note: data are in 2014 US dollars";20,600 
Uzbekistan;"$5,600 (2014 est.)
$5,200 (2013 est.)
$4,800 (2012 est.)
note: data are in 2014 US dollars";5,600 
Vanuatu;"$2,600 (2014 est.)
$2,500 (2013 est.)
$2,500 (2012 est.)
note: data are in 2014 US dollars";2,600 
Venezuela;"$17,700 (2014 est.)
$18,400 (2013 est.)
$18,200 (2012 est.)
note: data are in 2014 US dollars";17,700 
Vietnam;"$5,600 (2014 est.)
$5,300 (2013 est.)
$5,000 (2012 est.)
note: data are in 2014 US dollars";5,600 
Virgin Islands;"$36,100 (2013 est.)
$39,300 (2012)
$40,500 (2011)";36,100 
Wallis and Futuna;$3,800 (2004 est.);3,800 
West Bank;"$4,900 (2012 est.)
$4,400 (2011 est.)
$4,100 (2010 est.)
note: includes Gaza Strip";4,900 
Western Sahara;$2,500 (2007 est.);2,500 
World;"$16,100 (2014 est.)
$15,800 (2013 est.)
$15,500 (2012 est.)
note: data are in 2014 US dollars";16,100 
Yemen;"$3,800 (2014 est.)
$3,800 (2013 est.)
$3,600 (2012 est.)
note: data are in 2014 US dollars";3,800 
Zambia;"$4,100 (2014 est.)
$3,900 (2013 est.)
$3,600 (2012 est.)
note: data are in 2014 US dollars";4,100 
Zimbabwe;$2,000 (2014 est.);2,000 
