Country;GDP - PER CAPITA (PPP) ;
Afghanistan;"$1,900 (2014 est.)
$1,900 (2013 est.)
$1,800 (2012 est.)
note: data are in 2014 US dollars";1,900 
Albania;"$11,400 (2014 est.)
$11,100 (2013 est.)
$11,000 (2012 est.)
note: data are in 2014 US dollars";11,400 
Algeria;"$14,300 (2014 est.)
$13,700 (2013 est.)
$13,300 (2012 est.)
note: data are in 2014 US dollars";14,300 
American Samoa;"$13,000 (2013 est.)
$13,100 (2012 est.)
$11,700 (2011 est.)";13,000 
Andorra;"$37,200 (2011 est.)
$37,700 (2010 est.)
$37,900 (2009 est.)";37,200 
Angola;"$7,200 (2014 est.)
$6,900 (2013 est.)
$6,500 (2012 est.)
note: data are in 2014 US dollars";7,200 
Anguilla;$12,200 (2008 est.);12,200 
Antigua and Barbuda;"$22,600 (2014 est.)
$22,100 (2013 est.)
$21,700 (2012 est.)
note: data are in 2014 US dollars";22,600 
Argentina;"$22,600 (2014 est.)
$22,500 (2013 est.)
$21,800 (2012 est.)
note: data are in 2014 US dollars";22,600 
Armenia;"$7,400 (2014 est.)
$7,100 (2013 est.)
$6,900 (2012 est.)
note: data are in 2014 US dollars";7,400 
Aruba;$25,300 (2011 est.);25,300 
Australia;"$46,400 (2014 est.)
$45,200 (2013 est.)
$44,300 (2012 est.)
note: data are in 2014 US dollars";46,400 
Austria;"$46,400 (2014 est.)
$46,300 (2013 est.)
$46,200 (2012 est.)
note: data are in 2014 US dollars";46,400 
Azerbaijan;"$17,600 (2014 est.)
$17,100 (2013 est.)
$16,200 (2012 est.)
note: data are in 2014 US dollars";17,600 
Bahamas, The;"$25,000 (2014 est.)
$24,700 (2013 est.)
$24,600 (2012 est.)
note: data are in 2014 US dollars";25,000 
Bahrain;"$51,700 (2014 est.)
$49,400 (2013 est.)
$46,900 (2012 est.)
note: data are in 2014 US dollars";51,700 
Bangladesh;"$3,400 (2014 est.)
$3,200 (2013 est.)
$3,000 (2012 est.)
note: data are in 2014 US dollars";3,400 
Barbados;"$16,200 (2014 est.)
$16,200 (2013 est.)
$16,200 (2012 est.)
note: data are in 2014 US dollars";16,200 
Belarus;"$18,200 (2014 est.)
$17,900 (2013 est.)
$17,700 (2012 est.)
note: data are in 2014 US dollars";18,200 
Belgium;"$43,000 (2014 est.)
$42,500 (2013 est.)
$42,400 (2012 est.)
note: data are in 2014 US dollars";43,000 
Belize;"$8,200 (2014 est.)
$8,000 (2013 est.)
$7,900 (2012 est.)
note: data are in 2014 US dollars";8,200 
