Country;GDP - per capita (PPP) ;
Liechtenstein ;$139,100 ;139,100 
Qatar ;$124,100 ;124,100 
Monaco ;$115,700 ;115,700 
Macau ;$110,000 ;110,000 
Luxembourg ;$105,100 ;105,100 
Bermuda ;$99,400 ;99,400 
Singapore ;$94,100 ;94,100 
Isle of Man ;$84,600 ;84,600 
Brunei ;$78,900 ;78,900 
Ireland ;$73,200 ;73,200 
Norway ;$72,100 ;72,100 
Falkland Islands (Islas Malvinas) ;$70,800 ;70,800 
United Arab Emirates ;$68,600 ;68,600 
Sint Maarten ;$66,800 ;66,800 
Kuwait ;$65,800 ;65,800 
Switzerland ;$62,100 ;62,100 
Gibraltar ;$61,700 ;61,700 
Hong Kong ;$61,500 ;61,500 
United States ;$59,800 ;59,800 
San Marino ;$59,000 ;59,000 
Jersey ;$56,600 ;56,600 
Saudi Arabia ;$54,500 ;54,500 
Netherlands ;$53,900 ;53,900 
Guernsey ;$52,500 ;52,500 
Iceland ;$52,200 ;52,200 
Sweden ;$51,200 ;51,200 
Germany ;$50,800 ;50,800 
Taiwan ;$50,500 ;50,500 
Australia ;$50,400 ;50,400 
Denmark ;$50,100 ;50,100 
Austria ;$50,000 ;50,000 
Andorra ;$49,900 ;49,900 
Bahrain ;$49,000 ;49,000 
Canada ;$48,400 ;48,400 
Belgium ;$46,600 ;46,600 
Saint Pierre and Miquelon ;$46,200 ;46,200 
Oman ;$46,000 ;46,000 
Finland ;$44,500 ;44,500 
United Kingdom ;$44,300 ;44,300 
France ;$44,100 ;44,100 
Cayman Islands ;$43,800 ;43,800 
Japan ;$42,900 ;42,900 
Malta ;$41,900 ;41,900 
Greenland ;$41,800 ;41,800 
Faroe Islands ;$40,000 ;40,000 
Korea, South ;$39,500 ;39,500 
Puerto Rico ;$39,400 ;39,400 
New Zealand ;$39,000 ;39,000 
Spain ;$38,400 ;38,400 
Italy ;$38,200 ;38,200 
Aruba ;$37,500 ;37,500 
Equatorial Guinea ;$37,400 ;37,400 
Cyprus ;$37,200 ;37,200 
Virgin Islands ;$37,000 ;37,000 
Israel ;$36,400 ;36,400 
Guam ;$35,600 ;35,600 
Czechia ;$35,500 ;35,500 
Slovenia ;$34,500 ;34,500 
British Virgin Islands ;$34,200 ;34,200 
Montserrat ;$34,000 ;34,000 
Slovakia ;$33,100 ;33,100 
Bahamas, The ;$32,400 ;32,400 
Lithuania ;$32,400 ;32,400 
Estonia ;$31,700 ;31,700 
Trinidad and Tobago ;$31,300 ;31,300 
New Caledonia ;$31,100 ;31,100 
Portugal ;$30,500 ;30,500 
Hungary ;$29,600 ;29,600 
Poland ;$29,600 ;29,600 
Seychelles ;$29,300 ;29,300 
Malaysia ;$29,100 ;29,100 
Turks and Caicos Islands ;$29,100 ;29,100 
Saint Kitts and Nevis ;$28,200 ;28,200 
Russia ;$27,900 ;27,900 
Greece ;$27,800 ;27,800 
Latvia ;$27,700 ;27,700 
Turkey ;$27,000 ;27,000 
Antigua and Barbuda ;$26,400 ;26,400 
Kazakhstan ;$26,300 ;26,300 
Panama ;$25,400 ;25,400 
Croatia ;$24,700 ;24,700 
Chile ;$24,600 ;24,600 
Romania ;$24,600 ;24,600 
Northern Mariana Islands ;$24,500 ;24,500 
Uruguay ;$22,400 ;22,400 
Mauritius ;$22,300 ;22,300 
Bulgaria ;$21,800 ;21,800 
Argentina ;$20,900 ;20,900 
Iran ;$20,100 ;20,100 
Mexico ;$19,900 ;19,900 
Lebanon ;$19,600 ;19,600 
Saint Martin ;$19,300 ;19,300 
Maldives ;$19,200 ;19,200 
Belarus ;$18,900 ;18,900 
Barbados ;$18,600 ;18,600 
Turkmenistan ;$18,200 ;18,200 
Gabon ;$18,100 ;18,100 
Thailand ;$17,900 ;17,900 
Montenegro ;$17,800 ;17,800 
Azerbaijan ;$17,500 ;17,500 
Botswana ;$17,000 ;17,000 
Dominican Republic ;$17,000 ;17,000 
French Polynesia ;$17,000 ;17,000 
