Country;GDP - PER CAPITA (PPP) ;
Afghanistan;"$1,900 (2015 est.)
$2,000 (2014 est.)
$2,000 (2013 est.)
note: data are in 2015 US dollars";1,900 
Albania;"$11,900 (2015 est.)
$11,400 (2014 est.)
$11,000 (2013 est.)
note: data are in 2015 US dollars";11,900 
Algeria;"$14,500 (2015 est.)
$14,300 (2014 est.)
$14,000 (2013 est.)
note: data are in 2015 US dollars";14,500 
American Samoa;"$13,000 (2013 est.)
$13,100 (2012 est.)
$11,700 (2011 est.)";13,000 
Andorra;"$37,200 (2011 est.)
$37,700 (2010 est.)
$37,900 (2009 est.)";37,200 
Angola;"$7,300 (2015 est.)
$7,300 (2014 est.)
$7,200 (2013 est.)
note: data are in 2015 US dollars";7,300 
Anguilla;$12,200 (2008 est.);12,200 
Antigua and Barbuda;"$23,600 (2015 est.)
$23,300 (2014 est.)
$22,600 (2013 est.)
note: data are in 2015 US dollars";23,600 
Argentina;"$22,600 (2015 est.)
$22,500 (2014 est.)
$22,700 (2013 est.)
note: data are in 2015 US dollars";22,600 
Armenia;"$8,500 (2015 est.)
$8,200 (2014 est.)
$8,000 (2013 est.)
note: data are in 2015 US dollars";8,500 
Aruba;$25,300 (2011 est.);25,300 
Australia;"$65,400 (2015 est.)
$64,700 (2014 est.)
$65,400 (2013 est.)
note: data are in 2015 US dollars";65,400 
Austria;"$47,300 (2015 est.)
$47,100 (2014 est.)
$47,300 (2013 est.)
note: data are in 2015 US dollars";47,300 
Azerbaijan;"$18,000 (2015 est.)
$17,900 (2014 est.)
$17,600 (2013 est.)
note: data are in 2015 US dollars";18,000 
Bahamas, The;"$25,200 (2015 est.)
$25,300 (2014 est.)
$25,400 (2013 est.)
note: data are in 2015 US dollars";25,200 
Bahrain;"$50,100 (2015 est.)
$49,500 (2014 est.)
$48,400 (2013 est.)
note: data are in 2015 US dollars";50,100 
Bangladesh;"$3,600 (2015 est.)
$3,400 (2014 est.)
$3,300 (2013 est.)
note: data are in 2015 US dollars";3,600 
Barbados;"$16,600 (2015 est.)
$16,500 (2014 est.)
$16,600 (2013 est.)
note: data are in 2015 US dollars";16,600 
Belarus;"$17,700 (2015 est.)
$18,400 (2014 est.)
$18,100 (2013 est.)
note: data are in 2015 US dollars";17,700 
Belgium;"$43,600 (2015 est.)
$43,500 (2014 est.)
$43,100 (2013 est.)
note: data are in 2015 US dollars";43,600 
Belize;"$8,400 (2015 est.)
$8,400 (2014 est.)
$8,300 (2013 est.)
note: data are in 2015 US dollars";8,400 
