Country;% (of GDP);
Bahrain;-10.1;-10.1
Sudan;-10.6;-10.6
Cuba;-10.8;-10.8
Niue;-12.6;-12.6
Oman;-13.8;-13.8
Afghanistan;-15.1;-15.1
Brunei;-17.3;-17.3
Libya;-25.1;-25.1
Venezuela;-46.1;-46.1
Kiribati;-64.1;-64.1
Timor-Leste;-75.7;-75.7
