Country;births/1,000 population;
Niger;46.86;46.86
Angola;41.42;41.42
Benin;40.72;40.72
Mali;40.54;40.54
Uganda;40.27;40.27
Chad;39.85;39.85
Congo, Democratic Republic of the;39.64;39.64
Somalia;37.71;37.71
South Sudan;37.07;37.07
Mozambique;36.94;36.94
Liberia;36.26;36.26
Guinea-Bissau;36.25;36.25
Guinea;35.47;35.47
Cameroon;35.13;35.13
Burundi;34.87;34.87
Afghanistan;34.79;34.79
Zambia;34.48;34.48
Nigeria;34;34
Sudan;33.32;33.32
Tanzania;32.9;32.9
Zimbabwe;32.77;32.77
Burkina Faso;32.71;32.71
Central African Republic;32.37;32.37
Congo, Republic of the;31.55;31.55
Sierra Leone;31.49;31.49
Togo;31.39;31.39
Senegal;30.84;30.84
Timor-Leste;30.36;30.36
Ethiopia;29.97;29.97
Equatorial Guinea;29.46;29.46
Papua New Guinea;28.54;28.54
Madagascar;28.14;28.14
Ghana;28.04;28.04
Gambia, The;28.03;28.03
Cote d'Ivoire;27.92;27.92
Mauritania;27.61;27.61
Sao Tome and Principe;27.43;27.43
Malawi;27.29;27.29
Gaza Strip;27.2;27.2
Eritrea;26.72;26.72
Pakistan;26.01;26.01
Kenya;26.01;26.01
Gabon;25.89;25.89
Rwanda;25.7;25.7
Namibia;24.68;24.68
Iraq;24.22;24.22
Yemen;24.05;24.05
West Bank;24.02;24.02
Lesotho;23.01;23.01
Eswatini;22.83;22.83
Jordan;22.37;22.37
Solomon Islands;22.34;22.34
Tuvalu;22.34;22.34
Syria;22.19;22.19
Philippines;22.17;22.17
Comoros;22.06;22.06
Djibouti;22.03;22.03
Guatemala;21.88;21.88
Oman;21.62;21.62
Marshall Islands;21.61;21.61
Vanuatu;21.19;21.19
Belize;20.93;20.93
Libya;20.88;20.88
Haiti;20.81;20.81
Nauru;20.71;20.71
Egypt;20.48;20.48
Laos;20.35;20.35
Tajikistan;20.28;20.28
Tonga;20.02;20.02
Botswana;19.95;19.95
Kiribati;19.92;19.92
Kyrgyzstan;19.08;19.08
Samoa;19.03;19.03
Cambodia;18.75;18.75
Guam;18.33;18.33
South Africa;18.24;18.24
Cabo Verde;18.19;18.19
Micronesia, Federated States of;18.12;18.12
Bolivia;18.08;18.08
Algeria;17.84;17.84
Dominican Republic;17.8;17.8
Panama;17.71;17.71
Kuwait;17.65;17.65
Honduras;17.64;17.64
Bangladesh;17.5;17.5
El Salvador;17.49;17.49
Israel;17.3;17.3
Nepal;17.26;17.26
Turkmenistan;17.16;17.16
Morocco;17.1;17.1
Venezuela;16.99;16.99
Peru;16.96;16.96
Guyana;16.74;16.74
India;16.53;16.53
Nicaragua;16.3;16.3
Fiji;16.25;16.25
Ecuador;16.19;16.19
American Samoa;16.18;16.18
Paraguay;16.15;16.15
Burma;16.04;16.04
Brunei;15.98;15.98
Jamaica;15.77;15.77
Bhutan;15.61;15.61
Northern Mariana Islands;15.6;15.6
Argentina;15.38;15.38
Mongolia;15.37;15.37
Maldives;15.33;15.33
Vietnam;15.29;15.29
Uzbekistan;15.18;15.18
Suriname;15.17;15.17
Colombia;15.06;15.06
Indonesia;15.05;15.05
Antigua and Barbuda;15.01;15.01
Faroe Islands;14.94;14.94
Kazakhstan;14.92;14.92
Iran;14.79;14.79
Kosovo;14.57;14.57
Bahamas, The;14.49;14.49
Malaysia;14.39;14.39
Korea, North;14.06;14.06
Tunisia;14.05;14.05
Turkey (Turkiye);14.04;14.04
Costa Rica;14.03;14.03
New Caledonia;13.96;13.96
Saint Martin;13.95;13.95
