Country;% (of GDP);
Tuvalu;106.7;106.7
Greenland;77.4;77.4
Andorra;69;69
Cuba;58.1;58.1
Libya;51.6;51.6
Nauru;48.24;48.24
Anguilla;46.7;46.7
Venezuela;44.2;44.2
Kuwait;41.8;41.8
Dominica;40.9;40.9
Bolivia;39.9;39.9
Tonga;39.8;39.8
French Polynesia;39.4;39.4
Cayman Islands;38.9;38.9
British Virgin Islands;38.9;38.9
American Samoa;37.8;37.8
Montenegro;37.2;37.2
Djibouti;35.3;35.3
Japan;35.2;35.2
Eritrea;34.9;34.9
Denmark;34.07;34.07
Falkland Islands (Islas Malvinas);32.5;32.5
Algeria;32.3;32.3
Tajikistan;31.8;31.8
Seychelles;31.52;31.52
Northern Mariana Islands;31.4;31.4
Oman;31.3;31.3
Namibia;31.17;31.17
Faroe Islands;30.2;30.2
Kosovo;29;29
Cook Islands;29;29
Virgin Islands;28.9;28.9
Eswatini;28.6;28.6
Guyana;28.1;28.1
New Zealand;27.5;27.5
Barbados;27.48;27.48
Mauritania;27.4;27.4
Saint Pierre and Miquelon;26.8;26.8
Sweden;26.58;26.58
Maldives;26.4;26.4
Qatar;26.4;26.4
Kiribati;26.28;26.28
Sao Tome and Principe;26.2;26.2
Grenada;25.8;25.8
Jamaica;25.71;25.71
Comoros;25.3;25.3
Aruba;25.2;25.2
Luxembourg;25.13;25.13
Vietnam;24.8;24.8
Italy;24.77;24.77
Greece;24.74;24.74
United Kingdom;24.73;24.73
Tunisia;24.7;24.7
France;24.69;24.69
Samoa;24.42;24.42
Netherlands;24.38;24.38
Austria;24.19;24.19
Malta;23.73;23.73
Saint Vincent and the Grenadines;23.7;23.7
Serbia;23.49;23.49
Gibraltar;23.3;23.3
South Africa;23.3;23.3
Hong Kong;23.2;23.2
Hungary;22.87;22.87
Timor-Leste;22.86;22.86
Australia;22.61;22.61
Cyprus;22.42;22.42
Iceland;22.33;22.33
Botswana;22.32;22.32
Portugal;22.04;22.04
Belgium;21.97;21.97
Israel;21.9;21.9
Armenia;21.86;21.86
Mozambique;21.84;21.84
Latvia;21.77;21.77
Macau;21.73;21.73
Georgia;21.41;21.41
Niger;21.4;21.4
Guam;21.4;21.4
Belize;21.16;21.16
Norway;21.09;21.09
Solomon Islands;21.05;21.05
Mauritius;20.72;20.72
Estonia;20.69;20.69
Guernsey;20.6;20.6
Croatia;20.6;20.6
New Caledonia;20.4;20.4
Gambia, The;20.3;20.3
Bulgaria;20.27;20.27
Cabo Verde;20.09;20.09
Morocco;20.02;20.02
Lithuania;19.88;19.88
Finland;19.85;19.85
Antigua and Barbuda;19.6;19.6
Trinidad and Tobago;19.52;19.52
Fiji;19.26;19.26
Bahamas, The;19.16;19.16
Ukraine;19.15;19.15
Bosnia and Herzegovina;19.01;19.01
Gaza Strip;18.78;18.78
West Bank;18.78;18.78
El Salvador;18.66;18.66
Palau;18.59;18.59
Uruguay;18.55;18.55
Brunei;18.5;18.5
Slovakia;18.5;18.5
Lesotho;18.47;18.47
Laos;18.3;18.3
Saint Lucia;18.24;18.24
Haiti;18.2;18.2
Egypt;17.9;17.9
Cambodia;17.89;17.89
Turkey (Turkiye);17.64;17.64
Poland;17.48;17.48
Moldova;17.41;17.41
Iran;17.3;17.3
Nicaragua;17.2;17.2
Marshall Islands;17.16;17.16
Benin;17.1;17.1
Albania;17.02;17.02
Slovenia;16.92;16.92
Liberia;16.9;16.9
Wallis and Futuna;16.7;16.7
Curacao;16.6;16.6
Jersey;16.6;16.6
Bahrain;16.6;16.6
Guinea;16.6;16.6
Ireland;16.51;16.51
Zambia;16.44;16.44
Suriname;16.4;16.4
Senegal;16.38;16.38
Bermuda;16.3;16.3
Chile;16.24;16.24
San Marino;16.14;16.14
North Macedonia;16.13;16.13
Taiwan;16;16
Jordan;15.81;15.81
Burundi;15.8;15.8
Nepal;15.77;15.77
Sierra Leone;15.6;15.6
Pakistan;15.4;15.4
Rwanda;15.06;15.06
Saint Kitts and Nevis;15.03;15.03
Kyrgyzstan;14.92;14.92
Monaco;14.9;14.9
Liechtenstein;14.9;14.9
Turkmenistan;14.9;14.9
Uzbekistan;14.87;14.87
Korea, South;14.86;14.86
Honduras;14.77;14.77
Thailand;14.48;14.48
Czechia;14.34;14.34
Kenya;14.3;14.3
Mexico;14.29;14.29
Vanuatu;14.24;14.24
Colombia;14.23;14.23
Azerbaijan;14.22;14.22
Isle of Man;14.2;14.2
Romania;14.18;14.18
Mali;14.16;14.16
Mongolia;14.15;14.15
Philippines;13.95;13.95
Spain;13.58;13.58
Chad;13.5;13.5
Canada;13.3;13.3
Burkina Faso;13.28;13.28
Peru;13.2;13.2
Togo;13.16;13.16
Bhutan;12.98;12.98
Brazil;12.96;12.96
Singapore;12.89;12.89
Ecuador;12.54;12.54
Dominican Republic;12.39;12.39
Costa Rica;12.32;12.32
Cote d'Ivoire;12.11;12.11
India;12.02;12.02
Belarus;12.02;12.02
Papua New Guinea;11.88;11.88
Malawi;11.72;11.72
Tanzania;11.7;11.7
Gabon;11.48;11.48
Korea, North;11.4;11.4
Uganda;11.39;11.39
Ghana;11.34;11.34
Congo, Democratic Republic of the;11.2;11.2
Malaysia;10.89;10.89
Cameroon;10.87;10.87
Argentina;10.87;10.87
Russia;10.83;10.83
Germany;10.55;10.55
Angola;10.09;10.09
Guatemala;9.97;9.97
Afghanistan;9.9;9.9
United States;9.86;9.86
Madagascar;9.52;9.52
Paraguay;9.51;9.51
Guinea-Bissau;9.46;9.46
Switzerland;9.37;9.37
Yemen;9;9
Congo, Republic of the;8.95;8.95
Lebanon;8.9;8.9
Puerto Rico;8.9;8.9
Central African Republic;8.71;8.71
Saudi Arabia;8.6;8.6
Panama;8.51;8.51
South Sudan;8.5;8.5
Kazakhstan;8.32;8.32
Indonesia;8.31;8.31
China;8.09;8.09
Equatorial Guinea;7.85;7.85
Sri Lanka;7.68;7.68
Sudan;7.39;7.39
Zimbabwe;7.21;7.21
Bangladesh;7;7
Burma;6.44;6.44
Micronesia, Federated States of;6.43;6.43
Ethiopia;6.2;6.2
Syria;4.2;4.2
Nigeria;3.4;3.4
Iraq;1.34;1.34
