Country;GDP - PER CAPITA (PPP) ;
Afghanistan;"$2,000 (2016 est.)
$2,000 (2015 est.)
$2,100 (2014 est.)
note: data are in 2016 dollars";2,000 
Albania;"$11,800 (2016 est.)
$11,400 (2015 est.)
$11,100 (2014 est.)
note: data are in 2016 dollars";11,800 
Algeria;"$15,000 (2016 est.)
$14,800 (2015 est.)
$14,500 (2014 est.)
note: data are in 2016 dollars";15,000 
American Samoa;"$13,000 (2013 est.)
$13,100 (2012 est.)
$11,700 (2011 est.)";13,000 
Andorra;"$49,900 (2015 est.)
$51,300 (2014 est.)
$50,300 (2013 est.)";49,900 
Angola;"$6,800 (2016 est.)
$7,000 (2015 est.)
$7,000 (2014 est.)
note: data are in 2016 dollars";6,800 
Anguilla;$12,200 (2008 est.);12,200 
Antigua and Barbuda;"$25,400 (2016 est.)
$24,400 (2015 est.)
$23,700 (2014 est.)
note: data are in 2016 dollars";25,400 
Argentina;"$20,100 (2016 est.)
$20,700 (2015 est.)
$20,400 (2014 est.)
note: data are in 2016 dollars";20,100 
Armenia;"$8,600 (2016 est.)
$8,600 (2015 est.)
$8,400 (2014 est.)
note: data are in 2016 dollars";8,600 
Aruba;$25,300 (2011 est.);25,300 
Australia;"$48,700 (2016 est.)
$48,300 (2015 est.)
$47,800 (2014 est.)
note: data are in 2016 dollars";48,700 
Austria;"$47,700 (2016 est.)
$47,600 (2015 est.)
$47,600 (2014 est.)
note: data are in 2016 dollars";47,700 
Azerbaijan;"$17,500 (2016 est.)
$18,200 (2015 est.)
$18,200 (2014 est.)
note: data are in 2016 dollars";17,500 
Bahamas, The;"$24,500 (2016 est.)
$24,800 (2015 est.)
$25,500 (2014 est.)
note: data are in 2016 dollars";24,500 
Bahrain;"$50,700 (2016 est.)
$50,200 (2015 est.)
$49,800 (2014 est.)
note: data are in 2016 dollars";50,700 
Bangladesh;"$3,900 (2016 est.)
$3,700 (2015 est.)
$3,500 (2014 est.)
note: data are in 2016 dollars";3,900 
Barbados;"$17,100 (2016 est.)
$16,800 (2015 est.)
$16,800 (2014 est.)
note: data are in 2016 dollars";17,100 
