Country;Happiness Score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Mali;4.198;0.062;4.319;4.076;7.655;0.593;55.403;0.713;-0.028;0.846;1.778;0.763;0.637;0.106;0.441;0.121;0.059;2.07;40.54;-2.99;4.3;4.4;2100.0;14.16;-2.9;2.8
Egypt;4.17;0.059;4.287;4.054;9.367;0.726;63.503;0.732;-0.183;0.58;1.778;1.377;0.972;0.326;0.467;0.038;0.25;0.74;20.48;-0.29;4.4;2.5;11600.0;17.9;-8.6;1.6
Togo;4.137;0.077;4.289;3.986;7.673;0.595;57.449;0.657;0.024;0.74;1.778;0.77;0.642;0.161;0.367;0.149;0.136;1.913;31.39;-1.77;6.0;4.0;2100.0;13.16;-3.8;1.8
Jordan;4.12;0.062;4.242;3.997;9.13;0.729;67.6;0.77;-0.15;0.687;1.778;1.292;0.98;0.438;0.517;0.056;0.173;0.663;22.37;-10.99;7.5;3.2;9200.0;15.81;-5.1;5.7
Ethiopia;4.091;0.093;4.273;3.908;7.739;0.782;60.698;0.72;0.273;0.789;1.778;0.793;1.114;0.25;0.451;0.283;0.101;1.099;29.97;-0.19;3.5;4.5;2300.0;6.2;-3.2;0.7
Liberia;4.042;0.144;4.325;3.76;7.277;0.596;56.7;0.735;0.154;0.83;1.778;0.628;0.644;0.141;0.471;0.219;0.071;1.869;36.26;-2.67;9.5;2.7;1400.0;16.9;-4.3;0.4
India;4.036;0.029;4.092;3.98;8.759;0.608;60.777;0.897;0.072;0.774;1.778;1.159;0.674;0.252;0.685;0.175;0.111;0.979;16.53;0.12;3.0;4.5;6600.0;12.02;-3.5;2.5
Madagascar;4.019;0.092;4.199;3.839;7.29;0.65;58.05;0.522;0.075;0.742;1.778;0.632;0.779;0.178;0.187;0.177;0.134;1.932;28.14;0.0;3.9;3.1;1500.0;9.52;-2.7;0.5
Zambia;3.982;0.094;4.167;3.797;8.074;0.694;55.032;0.791;0.098;0.818;1.778;0.914;0.89;0.095;0.545;0.189;0.08;1.27;34.48;0.16;5.6;3.7;3200.0;16.44;-7.3;1.5
Tanzania;3.694;0.075;3.84;3.547;7.857;0.653;59.401;0.838;0.182;0.554;1.778;0.836;0.787;0.214;0.607;0.234;0.269;0.747;32.9;-0.39;3.8;3.3;2600.0;11.7;-1.8;1.1
Comoros;3.545;0.117;3.774;3.317;8.075;0.471;59.425;0.47;-0.014;0.727;1.778;0.914;0.327;0.215;0.117;0.129;0.145;1.699;22.06;-2.22;5.4;2.6;3200.0;25.3;-6.5;
Malawi;3.495;0.09;3.671;3.32;7.302;0.531;58.475;0.75;0.005;0.749;1.778;0.637;0.479;0.189;0.49;0.139;0.129;1.432;27.29;0.0;5.4;2.9;1500.0;11.72;-3.4;0.6
Botswana;3.435;0.136;3.702;3.168;9.629;0.753;54.725;0.742;-0.215;0.83;1.778;1.471;1.041;0.087;0.48;0.021;0.071;0.264;19.95;2.77;6.2;8.7;14800.0;22.32;-1.0;3.1
Congo (Kinshasa);3.207;0.095;3.394;3.02;7.007;0.652;55.375;0.664;0.086;0.834;1.778;0.531;0.784;0.105;0.375;0.183;0.068;1.162;39.64;-0.63;4.1;2.7;1100.0;11.2;-0.9;1.3
Zimbabwe;3.204;0.061;3.323;3.084;7.641;0.69;54.05;0.654;-0.046;0.766;1.778;0.758;0.881;0.069;0.363;0.112;0.117;0.905;32.77;-4.74;3.4;3.9;2100.0;7.21;-9.6;1.8
Sierra Leone;3.138;0.082;3.299;2.976;7.394;0.555;54.9;0.66;0.105;0.858;1.778;0.67;0.54;0.092;0.371;0.193;0.051;1.221;31.49;1.72;8.8;9.1;1600.0;15.6;-7.9;0.4
Lebanon;2.392;0.044;2.479;2.305;9.478;0.53;66.149;0.474;-0.141;0.891;1.778;1.417;0.476;0.398;0.123;0.061;0.027;-0.11;12.86;-0.94;8.0;1.7;13000.0;8.9;-6.9;4.6
Afghanistan;1.859;0.033;1.923;1.795;7.324;0.341;54.712;0.382;-0.081;0.847;1.778;0.645;0.0;0.087;0.0;0.093;0.059;0.976;34.79;-0.1;15.5;2.9;1500.0;9.9;-15.1;3.1
