RANK;Country;Happiness Score;Whisker-high;Whisker-low;Dystopia (1.83) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
38;Brazil;6,293;6,384;6,202;2,361;1,462;1,044;0,615;0,546;0,131;0,134;13.96;-0.19;9.6;6.0;14100.0;35.7;-1.1;1.3
39;Guatemala;6,262;6,460;6,064;2,746;1,274;0,831;0,522;0,662;0,112;0,115;22.34;-1.66;6.2;3.1;8400.0;10.8;-1.3;0.4
40;Kazakhstan;6,234;6,330;6,138;1,860;1,668;1,220;0,611;0,584;0,134;0,157;15.38;0.39;2.8;4.5;25300.0;22.3;-1.8;1.0
41;Cyprus;6,221;6,320;6,122;2,044;1,815;0,909;0,819;0,448;0,123;0,062;10.57;6.96;7.0;6.1;37700.0;39.9;1.8;2.0
42;Latvia;6,180;6,255;6,106;1,923;1,732;1,221;0,637;0,502;0,075;0,090;8.73;-5.19;6.6;6.0;29900.0;37.5;-0.5;2.1
43;Serbia;6,178;6,294;6,062;2,031;1,550;1,086;0,658;0,546;0,219;0,088;8.92;0.0;8.7;3.6;18200.0;42.7;0.2;1.9
44;Chile;6,172;6,262;6,082;2,040;1,651;1,080;0,748;0,460;0,124;0,069;12.75;0.33;9.3;5.6;23300.0;20.8;-2.8;2.0
45;Nicaragua;6,165;6,312;6,017;2,418;1,105;1,029;0,617;0,617;0,168;0,212;16.52;-2.15;8.4;4.6;5300.0;28.0;-2.0;0.6
46;Mexico;6,128;6,238;6,017;2,239;1,552;0,886;0,623;0,621;0,092;0,115;13.55;-0.76;5.4;4.3;17900.0;22.7;-1.1;0.8
47;Croatia;6,125;6,229;6,022;1,884;1,705;1,183;0,709;0,535;0,109;0,000;8.65;-0.5;7.0;5.5;26500.0;46.1;0.8;2.0
48;Poland;6,123;6,205;6,040;1,693;1,758;1,174;0,712;0,523;0,124;0,140;8.5;-0.33;6.5;5.2;32200.0;39.5;-1.7;2.4
49;El Salvador;6,120;6,250;5,990;2,514;1,265;0,768;0,607;0,666;0,089;0,212;17.87;-6.29;7.2;4.1;8100.0;23.7;-2.5;1.2
50;Kuwait;6,106;6,235;5,977;1,621;1,904;0,983;0,747;0,617;0,087;0,147;17.78;-3.87;5.5;6.6;49900.0;41.8;-10.0;6.8
51;Hungary;6,086;6,187;5,985;1,812;1,748;1,233;0,668;0,485;0,078;0,064;8.65;1.23;6.4;4.8;31000.0;44.5;-2.0;1.7
52;Mauritius;6,071;6,184;5,958;1,969;1,591;1,116;0,568;0,589;0,131;0,107;9.86;0.0;6.2;4.9;19500.0;22.5;-0.3;0.2
53;Uzbekistan;6,063;6,178;5,948;1,913;1,219;1,092;0,600;0,716;0,283;0,240;15.53;-1.78;5.6;4.9;7000.0;31.2;0.3;2.8
54;Japan;6,039;6,119;5,959;1,487;1,835;1,089;0,866;0,537;0,007;0,218;6.95;0.74;10.7;3.4;41400.0;35.2;-3.5;1.0
55;Honduras;6,022;6,189;5,855;2,611;1,111;0,885;0,555;0,582;0,202;0,076;17.92;-1.34;7.3;6.4;5100.0;20.3;-2.7;1.6
56;Portugal;6,016;6,122;5,911;1,691;1,760;1,078;0,777;0,655;0,016;0,039;8.0;0.91;9.5;5.0;32200.0;42.9;-3.0;1.5
57;Argentina;5,967;6,090;5,844;1,891;1,592;1,102;0,662;0,555;0,081;0,085;15.58;-0.08;9.5;5.0;19700.0;18.9;-6.0;0.8
58;Greece;5,948;6,043;5,853;2,119;1,703;0,980;0,774;0,249;0,015;0,108;7.61;1.0;7.8;4.4;27300.0;48.8;0.8;3.8
59;South Korea;5,935;6,021;5,849;1,656;1,851;0,886;0,841;0,414;0,111;0,176;6.92;2.63;8.2;4.7;42300.0;23.2;1.4;2.6
60;Philippines;5,904;6,007;5,800;2,283;1,268;0,912;0,514;0,678;0,107;0,142;22.28;0.13;4.1;3.7;8000.0;15.6;-2.2;1.1
61;Thailand;5,891;5,994;5,788;1,600;1,535;1,096;0,697;0,617;0,321;0,026;10.14;-0.13;3.8;3.2;17300.0;15.2;-3.5;1.3
62;Moldova;5,857;5,948;5,766;2,142;1,417;1,008;0,597;0,561;0,102;0,028;10.19;-8.87;6.4;6.4;12300.0;30.2;-0.6;0.4
63;Jamaica;5,850;6,023;5,676;2,164;1,296;1,045;0,646;0,567;0,080;0,053;15.91;-7.7;6.1;6.0;8700.0;29.7;0.5;1.4
64;Kyrgyzstan;5,828;5,916;5,741;2,087;1,069;1,109;0,638;0,693;0,208;0,025;19.54;-4.87;4.5;6.2;4700.0;28.7;-3.2;1.7
65;Belarus;5,821;5,950;5,693;1,811;1,562;1,157;0,629;0,342;0,040;0,282;9.08;0.72;5.9;4.7;19100.0;40.7;2.9;1.2
66;Colombia;5,781;5,903;5,659;1,971;1,452;0,929;0,720;0,545;0,087;0,077;15.21;-1.58;7.7;4.9;13400.0;26.5;-2.7;3.0
67;Bosnia and Herzegovina;5,768;5,877;5,659;1,869;1,468;1,068;0,665;0,448;0,244;0,006;8.41;-0.38;9.1;;14300.0;44.0;2.1;0.9
68;Mongolia;5,761;5,845;5,676;1,999;1,393;1,197;0,467;0,398;0,247;0,059;15.84;-0.77;3.8;4.7;11500.0;26.6;-6.4;0.8
69;Dominican Republic;5,737;5,873;5,601;1,751;1,538;1,003;0,577;0,606;0,084;0,179;18.03;-2.68;5.9;4.6;17000.0;14.9;-3.0;0.7
70;Malaysia;5,711;5,845;5,578;1,471;1,689;0,938;0,620;0,654;0,213;0,126;14.55;1.48;3.8;3.9;26400.0;16.4;-3.0;1.0
71;Bolivia;5,600;5,709;5,491;2,107;1,256;0,880;0,555;0,627;0,112;0,064;18.61;-0.98;6.9;9.8;7900.0;39.9;-7.8;1.4
72;China;5,585;5,650;5,520;1,516;1,508;0,958;0,705;0,656;0,099;0,142;9.93;-0.11;5.4;3.6;16400.0;21.3;-3.8;1.5
73;Paraguay;5,578;5,689;5,467;1,555;1,409;1,130;0,624;0,629;0,171;0,059;16.32;-0.07;7.2;3.3;12300.0;14.2;-1.1;1.0
74;Peru;5,559;5,679;5,439;1,890;1,397;0,865;0,735;0,545;0,090;0,037;17.21;-0.75;5.2;4.0;11300.0;27.1;-3.1;1.1
75;Montenegro;5,547;5,681;5,413;1,619;1,573;1,023;0,659;0,460;0,135;0,077;11.19;-4.97;8.3;;18300.0;37.2;-5.6;1.8
76;Ecuador;5,533;5,653;5,414;1,866;1,352;0,879;0,708;0,565;0,080;0,083;16.45;0.0;7.8;3.7;10300.0;32.0;-4.5;2.0
77;Vietnam;5,485;5,570;5,400;1,735;1,252;0,932;0,611;0,707;0,143;0,105;15.69;-0.22;5.3;4.1;8200.0;24.8;-6.7;2.4
78;Turkmenistan;5,474;5,578;5,371;1,160;1,484;1,319;0,516;0,649;0,314;0,032;17.51;-1.71;6.6;3.1;15500.0;14.9;-2.8;1.9
79;North Cyprus;5,467;5,609;5,325;1,078;1,815;0,888;0,819;0,523;0,130;0,213;;;;;;;;
80;Russia;5,459;5,525;5,392;1,494;1,685;1,095;0,586;0,401;0,117;0,080;9.45;1.7;5.7;3.7;26500.0;16.4;-1.4;4.0
81;Hong Kong S.A.R. of China;5,425;5,501;5,348;0,642;1,957;0,954;0,942;0,400;0,147;0,383;;;;;;;;
82;Armenia;5,399;5,519;5,278;1,654;1,434;0,820;0,668;0,558;0,054;0,210;11.1;-5.36;11.3;2.8;12600.0;22.9;-4.8;4.4
83;Tajikistan;5,377;5,468;5,287;1,895;0,966;1,005;0,518;0,572;0,118;0,304;20.73;-1.03;7.1;5.9;3700.0;31.8;-1.5;1.2
84;Nepal;5,377;5,502;5,251;2,224;0,984;0,784;0,499;0,519;0,237;0,130;17.53;-4.21;4.5;4.2;3800.0;23.8;-0.1;1.3
85;Bulgaria;5,371;5,485;5,257;1,235;1,625;1,163;0,640;0,563;0,123;0,021;8.05;-0.29;7.1;4.0;22400.0;35.7;1.8;1.7
86;Libya;5,330;5,543;5,118;1,544;1,476;0,943;0,606;0,477;0,106;0,179;21.56;-1.61;;;10300.0;51.6;-25.1;
87;Indonesia;5,240;5,341;5,139;1,300;1,382;0,883;0,539;0,620;0,468;0,047;15.32;-0.71;2.9;3.5;11400.0;13.0;-2.7;0.8
