Overall rank;Country;Happiness Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
46;Kosovo;6.1;0.882;1.232;0.758;0.489;0.262;0.006;;-2.6;;;10900.0;29.0;-2.1;0.8
47;Argentina;6.086;1.092;1.432;0.881;0.471;0.066;0.05;16.5;-0.1;7.5;5.5;20900.0;18.9;-6.0;0.86
48;Romania;6.07;1.162;1.232;0.825;0.462;0.083;0.005;8.7;-0.2;5.0;3.1;24600.0;29.3;-2.8;2.04
49;Cyprus;6.046;1.263;1.223;1.042;0.406;0.19;0.041;11.2;8.3;6.9;6.4;37200.0;39.9;1.8;1.57
50;Ecuador;6.028;0.912;1.312;0.868;0.498;0.126;0.087;17.6;0.0;8.4;5.0;11500.0;32.0;-4.5;2.38
51;Kuwait;6.021;1.5;1.319;0.808;0.493;0.142;0.097;18.8;-2.8;3.9;;65800.0;41.8;-10.0;5.06
52;Thailand;6.008;1.05;1.409;0.828;0.557;0.359;0.028;11.0;0.0;3.7;4.1;17900.0;15.2;-3.5;1.33
53;Latvia;5.94;1.187;1.465;0.812;0.264;0.075;0.064;9.6;-6.0;6.2;5.3;27700.0;37.5;-0.5;2.01
54;South Korea;5.895;1.301;1.219;1.036;0.159;0.175;0.056;8.3;2.4;7.3;5.3;39500.0;23.2;1.4;2.62
55;Estonia;5.893;1.237;1.528;0.874;0.495;0.103;0.161;9.9;-3.1;6.7;5.2;31700.0;39.9;-0.3;2.14
56;Jamaica;5.89;0.831;1.478;0.831;0.49;0.107;0.028;16.5;-9.4;6.1;5.4;9200.0;29.7;0.5;1.35
57;Mauritius;5.888;1.12;1.402;0.798;0.498;0.215;0.06;12.8;0.0;5.7;4.8;22300.0;22.5;-0.3;0.16
58;Japan;5.886;1.327;1.419;1.088;0.445;0.069;0.14;7.5;0.0;10.9;3.5;42900.0;35.2;-3.5;0.93
59;Honduras;5.86;0.642;1.236;0.828;0.507;0.246;0.078;22.0;-1.1;8.4;6.0;5600.0;20.3;-2.7;1.71
60;Kazakhstan;5.809;1.173;1.508;0.729;0.41;0.146;0.096;17.5;0.4;3.5;2.8;26300.0;22.3;-1.8;0.95
61;Bolivia;5.779;0.776;1.209;0.706;0.511;0.137;0.064;21.6;-0.4;6.9;7.3;7600.0;39.9;-7.8;1.5
62;Hungary;5.758;1.201;1.41;0.828;0.199;0.081;0.02;8.9;1.3;7.4;4.7;29600.0;44.5;-2.0;1.21
63;Paraguay;5.743;0.855;1.475;0.777;0.514;0.184;0.08;16.6;-0.1;8.0;3.4;12800.0;14.2;-1.1;0.93
64;Northern Cyprus;5.718;1.263;1.252;1.042;0.417;0.191;0.162;;;;;;;;
65;Peru;5.697;0.96;1.274;0.854;0.455;0.083;0.027;17.6;-2.1;5.1;3.9;13500.0;27.1;-3.1;1.19
66;Portugal;5.693;1.221;1.431;0.999;0.508;0.047;0.025;8.2;-0.2;9.1;4.9;30500.0;42.9;-3.0;1.52
