Country;(births/1,000 population) ;
Angola ;43.70;43.70
Niger ;43.60;43.60
Mali ;43.20;43.20
Chad ;43.00;43.00
Uganda ;42.40;42.40
Zambia ;41.10;41.10
Burundi ;40.90;40.90
Malawi ;40.70;40.70
Somalia ;39.30;39.30
Liberia ;37.90;37.90
Mozambique ;37.80;37.80
Afghanistan ;37.50;37.50
Guinea-Bissau ;37.30;37.30
Burkina Faso ;36.90;36.90
South Sudan ;36.90;36.90
Guinea ;36.40;36.40
Ethiopia ;36.00;36.00
Sierra Leone ;36.00;36.00
Tanzania ;35.30;35.30
Nigeria ;35.20;35.20
Cameroon ;35.00;35.00
Benin ;34.50;34.50
Sudan ;34.20;34.20
Central African Republic ;34.00;34.00
Zimbabwe ;34.00;34.00
Congo, Republic of the ;33.70;33.70
Senegal ;32.90;32.90
Timor-Leste ;32.90;32.90
Congo, Democratic Republic of the ;32.80;32.80
Togo ;32.80;32.80
Equatorial Guinea ;31.70;31.70
Sao Tome and Principe ;31.50;31.50
Madagascar ;31.00;31.00
Gaza Strip ;30.50;30.50
Ghana ;30.20;30.20
Cote d'Ivoire ;30.10;30.10
Iraq ;30.00;30.00
Mauritania ;29.90;29.90
Rwanda ;29.80;29.80
Eritrea ;29.10;29.10
Western Sahara ;28.90;28.90
Egypt ;28.80;28.80
Gambia, The ;28.60;28.60
Yemen ;27.60;27.60
Namibia ;26.80;26.80
Gabon ;26.50;26.50
West Bank ;26.00;26.00
Eswatini ;25.80;25.80
Comoros ;25.30;25.30
Guatemala ;24.60;24.60
Solomon Islands ;24.50;24.50
Lesotho ;24.20;24.20
Marshall Islands ;23.80;23.80
Oman ;23.70;23.70
Tuvalu ;23.70;23.70
Jordan ;23.60;23.60
Vanuatu ;23.50;23.50
Philippines ;23.40;23.40
Djibouti ;23.30;23.30
Papua New Guinea ;23.30;23.30
Laos ;23.20;23.20
Nauru ;23.20;23.20
Belize ;22.90;22.90
Tajikistan ;22.80;22.80
Haiti ;22.60;22.60
Kenya ;22.60;22.60
Cambodia ;22.50;22.50
Honduras ;22.00;22.00
Tonga ;21.80;21.80
Botswana ;21.70;21.70
Bolivia ;21.60;21.60
Kyrgyzstan ;21.60;21.60
Pakistan ;21.60;21.60
Algeria ;21.50;21.50
Kiribati ;21.00;21.00
Syria ;20.70;20.70
Samoa ;20.20;20.20
South Africa ;19.90;19.90
Cabo Verde ;19.70;19.70
Micronesia, Federated States of ;19.60;19.60
Guam ;19.40;19.40
Nepal ;19.10;19.10
American Samoa ;19.00;19.00
Dominican Republic ;18.90;18.90
Turkmenistan ;18.90;18.90
Kuwait ;18.80;18.80
Malaysia ;18.80;18.80
India ;18.70;18.70
Bangladesh ;18.60;18.60
Venezuela ;18.50;18.50
Fiji ;18.20;18.20
Mongolia ;18.20;18.20
Mexico ;18.10;18.10
Israel ;17.90;17.90
Burma ;17.70;17.70
Ecuador ;17.60;17.60
Panama ;17.60;17.60
Peru ;17.60;17.60
Kazakhstan ;17.50;17.50
Morocco ;17.50;17.50
Nicaragua ;17.50;17.50
Iran ;17.40;17.40
Tunisia ;17.40;17.40
Libya ;17.20;17.20
Bhutan ;17.00;17.00
Brunei ;16.90;16.90
Paraguay ;16.60;16.60
Uzbekistan ;16.60;16.60
Argentina ;16.50;16.50
Jamaica ;16.50;16.50
El Salvador ;16.10;16.10
Maldives ;16.10;16.10
Indonesia ;15.90;15.90
Colombia ;15.80;15.80
Antigua and Barbuda ;15.60;15.60
Saudi Arabia ;15.60;15.60
Suriname ;15.60;15.60
Guyana ;15.40;15.40
Turkey ;15.40;15.40
Azerbaijan ;15.30;15.30
Costa Rica ;15.30;15.30
Grenada ;15.20;15.20
Vietnam ;15.20;15.20
Bahamas, The ;15.10;15.10
Dominica ;15.00;15.00
Northern Mariana Islands ;14.90;14.90
Turks and Caicos Islands ;14.90;14.90
New Caledonia ;14.80;14.80
Sri Lanka ;14.80;14.80
Korea, North ;14.60;14.60
Faroe Islands ;14.50;14.50
French Polynesia ;14.50;14.50
Greenland ;14.30;14.30
Lebanon ;14.10;14.10
Brazil ;13.90;13.90
Gibraltar ;13.90;13.90
Ireland ;13.80;13.80
Cook Islands ;13.70;13.70
Curacao ;13.70;13.70
Iceland ;13.60;13.60
Chile ;13.40;13.40
Seychelles ;13.40;13.40
Albania ;13.20;13.20
Bahrain ;13.10;13.10
New Zealand ;13.10;13.10
Saint Lucia ;13.10;13.10
Sint Maarten ;13.10;13.10
Saint Kitts and Nevis ;13.00;13.00
Saint Vincent and the Grenadines ;13.00;13.00
Uruguay ;13.00;13.00
Wallis and Futuna ;13.00;13.00
Mauritius ;12.80;12.80
Armenia ;12.60;12.60
Jersey ;12.50;12.50
Virgin Islands ;12.50;12.50
Anguilla ;12.40;12.40
United States ;12.40;12.40
Aruba ;12.30;12.30
Trinidad and Tobago ;12.30;12.30
Norway ;12.20;12.20
China ;12.10;12.10
France ;12.10;12.10
Georgia ;12.10;12.10
Sweden ;12.10;12.10
Australia ;12.00;12.00
Cayman Islands ;12.00;12.00
United Kingdom ;12.00;12.00
Montenegro ;11.90;11.90
Barbados ;11.60;11.60
Luxembourg ;11.60;11.60
Belgium ;11.30;11.30
Bermuda ;11.30;11.30
Palau ;11.30;11.30
Cyprus ;11.20;11.20
Moldova ;11.20;11.20
British Virgin Islands ;11.10;11.10
Thailand ;11.00;11.00
Denmark ;10.90;10.90
Falkland Islands (Islas Malvinas) ;10.90;10.90
Isle of Man ;10.90;10.90
Netherlands ;10.90;10.90
Macedonia ;10.80;10.80
Finland ;10.70;10.70
Russia ;10.70;10.70
Cuba ;10.60;10.60
Montserrat ;10.50;10.50
Switzerland ;10.50;10.50
Liechtenstein ;10.40;10.40
Canada ;10.20;10.20
Ukraine ;10.10;10.10
Belarus ;10.00;10.00
Malta ;10.00;10.00
Estonia ;9.90;9.90
Guernsey ;9.80;9.80
Lithuania ;9.80;9.80
United Arab Emirates ;9.80;9.80
Latvia ;9.60;9.60
Slovakia ;9.60;9.60
Austria ;9.50;9.50
Qatar ;9.50;9.50
Saint Helena, Ascension, and Tristan da Cunha ;9.40;9.40
Poland ;9.30;9.30
Czechia ;9.20;9.20
Slovenia ;9.20;9.20
Spain ;9.00;9.00
Hungary ;8.90;8.90
Serbia ;8.90;8.90
Croatia ;8.80;8.80
Hong Kong ;8.80;8.80
Bosnia and Herzegovina ;8.70;8.70
Romania ;8.70;8.70
Singapore ;8.70;8.70
Germany ;8.60;8.60
San Marino ;8.60;8.60
Bulgaria ;8.50;8.50
Italy ;8.50;8.50
Macau ;8.40;8.40
Greece ;8.30;8.30
Korea, South ;8.30;8.30
Portugal ;8.20;8.20
Taiwan ;8.20;8.20
Puerto Rico ;8.00;8.00
Japan ;7.50;7.50
Andorra ;7.30;7.30
Saint Pierre and Miquelon ;7.00;7.00
Monaco ;6.50;6.50
