Country;(% of GDP) ;
Cuba ;12.80;12.80
Micronesia, Federated States of ;12.50;12.50
Solomon Islands ;9.90;9.90
Botswana ;9.60;9.60
Norway ;8.00;8.00
Sweden ;7.70;7.70
Denmark ;7.60;7.60
Iceland ;7.50;7.50
Belize ;7.40;7.40
Costa Rica ;7.40;7.40
Bolivia ;7.30;7.30
Kyrgyzstan ;7.20;7.20
Eswatini ;7.10;7.10
Finland ;6.90;6.90
Venezuela ;6.90;6.90
Oman ;6.80;6.80
Moldova ;6.70;6.70
Bhutan ;6.60;6.60
Tunisia ;6.60;6.60
Belgium ;6.50;6.50
Mozambique ;6.50;6.50
Cyprus ;6.40;6.40
Lesotho ;6.40;6.40
New Zealand ;6.40;6.40
Guyana ;6.30;6.30
Uzbekistan ;6.30;6.30
Aruba ;6.20;6.20
Brazil ;6.20;6.20
South Africa ;6.20;6.20
Puerto Rico ;6.10;6.10
Zimbabwe ;6.10;6.10
Honduras ;6.00;6.00
Israel ;5.80;5.80
Saint Vincent and the Grenadines ;5.80;5.80
Vietnam ;5.70;5.70
Czechia ;5.60;5.60
Argentina ;5.50;5.50
Austria ;5.50;5.50
Netherlands ;5.50;5.50
United Kingdom ;5.50;5.50
Chile ;5.40;5.40
France ;5.40;5.40
Jamaica ;5.40;5.40
Ukraine ;5.40;5.40
Australia ;5.30;5.30
Canada ;5.30;5.30
Gaza Strip ;5.30;5.30
Korea, South ;5.30;5.30
Latvia ;5.30;5.30
Malta ;5.30;5.30
Morocco ;5.30;5.30
West Bank ;5.30;5.30
Cabo Verde ;5.20;5.20
Estonia ;5.20;5.20
Kenya ;5.20;5.20
Nepal ;5.20;5.20
Tajikistan ;5.20;5.20
Cote d'Ivoire ;5.10;5.10
Montserrat ;5.10;5.10
Switzerland ;5.10;5.10
Syria ;5.10;5.10
Ecuador ;5.00;5.00
Togo ;5.00;5.00
United States ;5.00;5.00
Curacao ;4.90;4.90
Mexico ;4.90;4.90
Portugal ;4.90;4.90
Sao Tome and Principe ;4.90;4.90
Uruguay ;4.90;4.90
Belarus ;4.80;4.80
Burundi ;4.80;4.80
Germany ;4.80;4.80
Mauritius ;4.80;4.80
Senegal ;4.80;4.80
Slovenia ;4.80;4.80
Barbados ;4.70;4.70
Cook Islands ;4.70;4.70
Ethiopia ;4.70;4.70
Hungary ;4.70;4.70
Malaysia ;4.70;4.70
Vanuatu ;4.70;4.70
Congo, Republic of the ;4.60;4.60
Croatia ;4.60;4.60
Poland ;4.60;4.60
Sierra Leone ;4.60;4.60
Colombia ;4.50;4.50
Djibouti ;4.50;4.50
Brunei ;4.40;4.40
Seychelles ;4.40;4.40
Nicaragua ;4.30;4.30
Turkey ;4.30;4.30
Burkina Faso ;4.20;4.20
Lithuania ;4.20;4.20
Spain ;4.20;4.20
Afghanistan ;4.10;4.10
Bulgaria ;4.10;4.10
Maldives ;4.10;4.10
Mongolia ;4.10;4.10
Samoa ;4.10;4.10
Thailand ;4.10;4.10
Albania ;4.00;4.00
Benin ;4.00;4.00
Iran ;4.00;4.00
Malawi ;4.00;4.00
Serbia ;4.00;4.00
Fiji ;3.90;3.90
Luxembourg ;3.90;3.90
Peru ;3.90;3.90
Slovakia ;3.90;3.90
El Salvador ;3.80;3.80
Georgia ;3.80;3.80
India ;3.80;3.80
Italy ;3.80;3.80
Liberia ;3.80;3.80
Saint Lucia ;3.80;3.80
Timor-Leste ;3.80;3.80
Ireland ;3.70;3.70
Russia ;3.70;3.70
Ghana ;3.60;3.60
Indonesia ;3.60;3.60
Jordan ;3.60;3.60
Japan ;3.50;3.50
Niger ;3.50;3.50
Angola ;3.40;3.40
Dominica ;3.40;3.40
Paraguay ;3.40;3.40
Tanzania ;3.40;3.40
Hong Kong ;3.30;3.30
Andorra ;3.20;3.20
British Virgin Islands ;3.20;3.20
Grenada ;3.20;3.20
Panama ;3.20;3.20
Cameroon ;3.10;3.10
Mali ;3.10;3.10
Namibia ;3.10;3.10
Romania ;3.10;3.10
Rwanda ;3.10;3.10
Turkmenistan ;3.10;3.10
San Marino ;3.00;3.00
Chad ;2.90;2.90
Laos ;2.90;2.90
Pakistan ;2.90;2.90
Qatar ;2.90;2.90
Singapore ;2.90;2.90
Guatemala ;2.80;2.80
Kazakhstan ;2.80;2.80
Madagascar ;2.80;2.80
Sri Lanka ;2.80;2.80
Turks and Caicos Islands ;2.80;2.80
Armenia ;2.70;2.70
Gabon ;2.70;2.70
Macau ;2.70;2.70
Philippines ;2.70;2.70
Liechtenstein ;2.60;2.60
Mauritania ;2.60;2.60
Saint Kitts and Nevis ;2.60;2.60
Uganda ;2.60;2.60
Antigua and Barbuda ;2.50;2.50
Azerbaijan ;2.50;2.50
Comoros ;2.50;2.50
Lebanon ;2.50;2.50
Haiti ;2.40;2.40
Bahrain ;2.30;2.30
Burma ;2.20;2.20
Guinea ;2.20;2.20
Sudan ;2.20;2.20
Gambia, The ;2.10;2.10
Guinea-Bissau ;2.10;2.10
Bangladesh ;2.00;2.00
Cambodia ;1.90;1.90
Bermuda ;1.50;1.50
Congo, Democratic Republic of the ;1.50;1.50
Monaco ;1.50;1.50
Central African Republic ;1.20;1.20
South Sudan ;1.00;1.00
